NAME,LNG,LAT
Gatineau Trail,-79.25549371,43.75335371
Gatineau Trail,-79.25525982,43.75369407
Gatineau Trail,-79.24700431,43.7601336
Gatineau Trail,-79.23834011,43.76524396
Gatineau Trail,-79.23475247,43.76754128
Gatineau Trail,-79.22936736,43.77018759
Gatineau Trail,-79.22515867,43.77465872
Gatineau Trail,-79.22172561,43.7769313
Gatineau Trail,-79.21720542,43.77988978
Highland Creek Trail,-79.19295434,43.7787166
Highland Creek Trail,-79.17586916,43.77978906
Highland Creek Trail,-79.17486842,43.78049599
Highland Creek Trail,-79.16898445,43.77991909
East Point Park Trail,-79.15147618,43.76360499
Port Union Trail,-79.13490769,43.77561597
Waterfront Trail,-79.53448031,43.58839224
Waterfront Trail,-79.52920997,43.58929432
Colonel Sam Smith Park Trail,-79.51569486,43.59215989
Colonel Sam Smith Park Trail,-79.51026783,43.59428431
Colonel Sam Smith Park Trail,-79.51551482,43.59456496
Colonel Sam Smith Park Trail,-79.51278585,43.59642944
Colonel Sam Smith Park Trail,-79.51086928,43.59697186
Etobicoke Creek Trail,-79.54678655,43.59013181
Etobicoke Creek Trail,-79.55644273,43.60498655
Prince of Wales Park Trail,-79.4985408,43.59963241
Humber  Bay Park West Trail,-79.48145078,43.62001007
Humber River Trail,-79.47459208,43.6361958
Humber River Trail,-79.47276089,43.6347681
High ParkTrail,-79.46645206,43.63777049
High Park Trail,-79.45862406,43.64318166
High Park Trail,-79.45780434,43.64862899
Martin Goodman Trail,-79.41862494,43.63058838
Coronation Park Trail,-79.4066623,43.63536164
Canoe Landing Park Trail,-79.39731972,43.63804577
Canoe Landing Park Trail,-79.39243454,43.63902195
Waterfront Trail,-79.39222647,43.63845371
Parliament Square Park Trail,-79.36343412,43.64995184
Rosedale Valley Trail,-79.36019137,43.67014361
Beltline Trail,-79.36387296,43.67364254
Martin Goodman Trail,-79.35477448,43.64790526
Martin Goodman Trail,-79.346662,43.63906267
Martin Goodman Trail,-79.3284661,43.64814097
Martin Goodman Trail,-79.32622966,43.65658025
Lake  Shore Blvd East Trail,-79.34696171,43.65131219
Lake Shore Blvd East Trail,-79.34090159,43.6538079
Lake Shore Blvd East Trail,-79.33988138,43.65422463
Lake Shore Blvd East Trail,-79.33762088,43.65523623
Lake Shore Blvd East Trail,-79.3284901,43.65932662
Woodbine Park Trail,-79.31003026,43.6634726
Woodbine Park Trail,-79.31155242,43.66746913
Martin Goodman Trail,-79.29653287,43.66680051
Taylor Creek Trail,-79.29222405,43.70010896
Taylor Creek Trail,-79.30117191,43.69560413
Taylor Creek Trail,-79.31733246,43.69937142
Waterfront Trail,-79.54477759,43.58575772
Waterfront Trail,-79.540466,43.58648816
Colonel Sam Smith Park Trail,-79.51925085,43.59118615
Mimico CreekTrail,-79.48914082,43.6248803
Mimico Creek Trail,-79.49288585,43.63062794
Trinity Bellwoods Park Trail,-79.41823897,43.64970988
Trinity Bellwoods Park Trail,-79.41675771,43.64913414
West Toronto Rail Path Trail,-79.44302374,43.65068688
West Toronto Rail Path Trail,-79.45319757,43.6605714
West Toronto Rail Path Trail,-79.45705612,43.66446337
West Toronto Rail Path Trail,-79.44965138,43.65691717
Rosedale Valley Trail,-79.38406969,43.67350012
Queen's Park Trail,-79.39389737,43.66502124
Dufferin Grove Park Trail,-79.43186497,43.65497066
Martin Goodman Trail,-79.33908801,43.64044654
Lower Don River Trail,-79.35697559,43.68383425
Taylor Creek Trail,-79.32984444,43.70180004
David A Balfour Park Trail,-79.3883523,43.68733472
Monarch Park Trail,-79.32673127,43.67707853
Monarch Park Trail,-79.32682004,43.67886502
Oakvale Trail,-79.33443728,43.67726954
Withrow Park Trail,-79.34598271,43.67534119
Withrow Park Trail,-79.34843109,43.674901
West Don River Trail,-79.35984695,43.71801114
Wilket Creek Trail,-79.34919473,43.72521713
West Don River Trail,-79.36944037,43.71855235
SunnyBrook Park Trail,-79.37844944,43.71907839
Sherwood Park Trail,-79.39023693,43.7154747
Eglinton Park Trail,-79.40331347,43.70724047
East Don River Trail,-79.32715048,43.72749874
Beltline Trail,-79.40008997,43.69639093
Beltline Trail,-79.40601239,43.69818893
Beltline Trail,-79.41039178,43.70024641
Beltline Trail,-79.42033638,43.70356525
Beltline Trail,-79.43689848,43.70213961
Beltline Trail,-79.43700049,43.70305886
Ramsden Park Trail,-79.39696212,43.67560353
Beltline Trail,-79.40373863,43.68027726
Beltline Trail,-79.41591619,43.68604633
Beltline Trail,-79.43287768,43.69293587
Beltline Trail,-79.43479704,43.69574613
Viewmount Park Trail,-79.43789217,43.70825641
Beltline Trail,-79.46520976,43.6943973
Beltline Trail,-79.45929018,43.69847292
Beltline Trail,-79.44592561,43.70047013
Beltline Trail,-79.44855199,43.69932051
